,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
16607,32,Salsalito Mexican Restaurant_,4.5,169,"Mexican, Family Friendly",2,"14535 Nacogdoches Rd, San Antonio, TX, 78247",78247,29.5727251,-98.3797707,0
7284,6,Shari's Cafe  Kelso ,4.5,11,"American, Bakery, Breakfast &amp; Brunch",2,"205, Kelso, WA, 98626",98626,46.14379,-122.89626,0
17415,28,IHOP  2005 S Main St ,4.7,22,"American, Family Meals",2,"2005 S Main St, Weatherford, TX, 76086",76086,32.7317236,-97.7905678,0
14135,12,Cafe Zupas  507 E. 1000 N. ,4.9,40,"American, Sandwich, Healthy",2,"507 E. 1000 N., Spanish Fork, UT, 84660",84660,40.1241602,-111.6456796,0
11711,30,Roma Ristorante Italiano  Staples Mill ,4.2,40,"Italian, Allergy Friendly, Family Friendly",2,"8330 Staples Mill Rd, Henrico, VA, 23228",23228,37.6260077,-77.505427,0
3000,129,Namasthe Indian Restaurant,4.4,112,"Indian, Vegetarian Friendly, Family Meals, Family Friendly",3,"22910, Bothell, WA, 98021",98021,47.7903717,-122.2195147,0
7686,101,Alpha Pitt Smokers,4.7,43,"Italian, Pasta, Salads, BBQ, Healthy",2,"2960 Hampton Hwy Ste A, Yorktown, VA, 23693",23693,37.1008727,-76.4173221,0
10668,45,Thai Deelish,4.5,121,"Thai, Noodles, Seafood, Salads, Desserts, Healthy, Family Friendly",2,"43330 Junction Plz # 188, Ashburn, VA, 20147",20147,39.0358783,-77.5005847,0
17695,160,Creme De La Creme,4.7,19,"Bakery, Cupcakes",2,"6511 E Lancaster Ave, Fort Worth, TX, 76112",76112,32.732952,-97.218876,0
15835,63,BBQ King,4.4,73,"Pakistani, Indian, Halal",2,"3112 N Jupiter Rd, Garland, TX, 75044",75044,32.945685,-96.68079672,0
966,9,Skybox Sports Bar  Milwaukee ,3.2,67,"American, Pub, Black-owned",2,"2213 N Doctor M.L.K. Dr, Milwaukee, WI, 53212",53212,43.0594593,-87.9145418,0
13567,215,Poppabox  Farragut West ,4.8,33,"Korean, BBQ, Sandwich",2,"1928 I St NW, Washington, DC, 20006",20006,38.9011835,-77.04472,0
5004,34,Denny's  Pacific Ave ,4.3,99,"Breakfast and Brunch, American, Salads, Steak, Sandwich, Family Meals, Healthy, Family Friendly",2,"10802 Pacific Ave S, Tacoma, WA, 98444",98444,47.1589874,-122.4349168,0
8001,77,Dixie Bones BBQ  Woodbridge ,4.4,61,"BBQ, Sandwich, Kids Friendly, Desserts, Family Friendly",2,"13440 Occoquan Road, Woodbridge, VA, 22191",22191,38.6589218,-77.2507193,0
12734,113,"Guapo's Restaurant - Tenleytown, Washington, DC",4.7,226,"Mexican, Latin American, Chicken, Group Friendly",2,"4515 Wisconsin Ave NW, Washington, DC, 20016",20016,38.9484264,-77.0795385,0
16240,209,Honchos Churros,4.9,62,Desserts,2,"6421 Broadway St, Alamo Heights, TX, 78209",78209,29.4870099,-98.466765,0
16537,140,India Taj Palace,4.8,76,"Indian, Indian Curry, Family Friendly",2,"20323 Huebner Road, San Antonio, TX, 78258",78258,29.6276438,-98.4937408,0
